Date;Close;Open;Max;MIn;Vol.;var.
03/25/2019;2798.36;2796.01;2809.79;2785.02;-;-0,08%
03/22/2019;2800.71;2844.52;2846.16;2800.47;-;-1,90%
03/21/2019;2854.88;2819.72;2860.31;2817.38;-;1,09%
03/20/2019;2824.23;2831.34;2843.54;2812.43;-;-0,29%
03/19/2019;2832.57;2840.76;2852.42;2823.27;-;-0,01%
03/18/2019;2832.94;2822.61;2835.41;2821.99;-;0,37%
03/15/2019;2822.48;2810.79;2830.73;2810.79;-;0,50%
03/14/2019;2808.48;2810.38;2815;2803.46;-;-0,09%
03/13/2019;2810.92;2799.78;2821.24;2799.78;-;0,69%
03/12/2019;2791.52;2787.34;2798.32;2786.73;-;0,30%
03/11/2019;2783.3;2747.61;2784;2747.61;-;1,47%
03/08/2019;2743.07;2730.79;2744.13;2722.27;-;-0,21%
03/07/2019;2748.93;2766.53;2767.25;2739.09;-;-0,81%
03/06/2019;2771.45;2790.27;2790.27;2768.69;-;-0,65%
03/05/2019;2789.65;2794.41;2796.44;2782.97;-;-0,11%
03/04/2019;2792.81;2814.37;2816.88;2767.66;-;-0,39%
03/01/2019;2803.69;2798.22;2808.02;2787.38;-;0,69%
02/28/2019;2784.49;2788.11;2793.73;2782.51;-;-0,28%
02/27/2019;2792.38;2787.5;2795.76;2775.13;-;-0,05%
02/26/2019;2793.9;2792.36;2803.12;2789.47;-;-0,08%
02/25/2019;2796.11;2804.35;2813.49;2794.99;-;0,12%
02/22/2019;2792.67;2780.67;2794.2;2779.11;-;0,64%
02/21/2019;2774.88;2780.24;2781.58;2764.55;-;-0,35%
02/20/2019;2784.7;2779.05;2789.88;2774.06;-;0,18%
02/19/2019;2779.76;2769.28;2787.33;2767.29;-;0,15%
02/15/2019;2775.6;2760.24;2775.66;2760.24;-;1,09%
02/14/2019;2745.73;2743.5;2757.9;2731.23;-;-0,27%
02/13/2019;2753.03;2750.3;2761.85;2748.63;-;0,30%
02/12/2019;2744.73;2722.61;2748.19;2722.61;-;1,29%
02/11/2019;2709.8;2712.4;2718.05;2703.79;-;0,07%
02/08/2019;2707.88;2692.36;2708.07;2681.83;-;0,07%
02/07/2019;2706.05;2717.53;2719.32;2687.26;-;-0,94%
02/06/2019;2731.61;2735.05;2738.08;2724.15;-;-0,22%
02/05/2019;2737.7;2728.34;2738.98;2724.03;-;0,47%
02/04/2019;2724.87;2706.49;2724.99;2698.75;-;0,68%
02/01/2019;2706.53;2702.32;2716.66;2696.88;-;0,09%
